rank,company,cik,ticker,sic,state_location,state_of_incorporation,revenues,profits
202,National Oilwell Varco,1021860,NOV,3533,TX,DE,12156,1667
203,Dean Foods,931336,DF,2024,TX,DE,12149.2,91.5
204,Navistar International,808450,NAV,3711,IL,DE,12145,223
205,Southwest Airlines,943820,SWA,7389,NE,MN,12104,459
206,Apache,820313,APH,3678,CT,DE,12092,3032
207,Lear,842162,LEA,3714,MI,DE,11954.6,438.3
208,US Airways Group,701345,LCC,4512,AZ,DE,11908,502
209,Qwest Communications,1037949,Q,4813,CO,DE,11730,-55
210,Marriott International,1048286,MAR,7011,MD,DE,11691,458
211,Office Depot,800240,ODP,5940,FL,DE,11633.1,34.9
212,Coventry Health Care,1054833,CVH,6324,MD,DE,11587.9,438.6
213,Entergy,65984,ETR,4911,LA,DE,11487.6,1250.2
214,Yum Brands,1041061,YUM,5812,KY,NC,11343,1158
215,Genuine Parts,40987,GPC,5013,GA,GA,11207.6,475.5
216,Smithfield Foods,91388,SFD,2011,VA,VA,11202.6,-101.4
217,ITT,216228,ITT,3561,NY,IN,11155,798
218,Land O'Lakes,1113256,NA,3714,IN,IN,11146.4,178.1
219,SAIC,1336920,SAI,7373,VA,,11117,618
220,BB&T Corp.,92230,BBT,6021,NC,NC,11072,816
221,BJ's Wholesale Club,1037461,BJ,5331,MA,DE,11024.8,95
222,Qualcomm,804328,QCOM,3663,CA,DE,10991,3247
223,Anadarko Petroleum,6176,AP,3561,PA,PA,10984,761
224,Liberty Media,1355096,LINTA,4841,CO,,10982,1892
225,Marsh & McLennan,62709,MMC,6411,NY,DE,10931,855
226,Avon Products,8868,AVP,2844,NY,NY,10862.8,606.3
227,Thermo Fisher Scientific,97745,TMO,3829,MA,DE,10788.7,1035.6
228,Penske Automotive Group,1019849,PAG,5500,MI,DE,10734.4,108.3
229,Starbucks,829224,SBUX,5810,WA,WA,10707.4,945.6
230,CSX,277948,CSX,4011,FL,VA,10636,1563
231,Devon Energy,1090012,DVN,1311,OK,DE,10633,4550
232,H.J. Heinz,46640,HNZ,2030,PA,PA,10558,864.9
233,Textron,217346,TXT,3720,RI,DE,10525,86
234,Monsanto,1091801,MSO,2721,NY,DE,10502,1109
235,Lincoln National,59558,LNC,6311,PA,IN,10410.5,980.3
236,First Data,883980,FDC,7374,GA,DE,10380.4,-1021.8
237,Xcel Energy,72903,XEL,4931,MN,MN,10310.9,755.8
238,Paccar,75362,PCAR,3711,WA,DE,10292.9,457.6
239,Unum Group,5513,UNM,6321,TN,DE,10193.2,886.1
240,Progress Energy,1094093,PGN,4911,NC,NC,10190,856
241,Praxair,884905,PX,2810,CT,DE,10116,1195
242,KBR,1357615,KBR,1600,TX,DE,10099,327
243,Genworth Financial,1276520,GNW,6311,VA,DE,10089,142
244,SunTrust Banks,750556,STI,6021,GA,GA,10071.7,189
245,Guardian Life Ins. Co. of America,1282977,GHL,6211,NY,DE,10050.5,225.1
246,Ameriprise Financial,820027,AMP,6282,MN,DE,10046,1097
247,R.R. Donnelley & Sons,29669,RRD,2750,IL,DE,10018.9,221.7
248,Parker Hannifin,76334,PH,3490,OH,OH,9993.2,554.1
249,Peter Kiewit Sons',,PRIVATE,,,,9938,581
250,Jacobs Engineering Group,52988,JEC,1600,CA,DE,9915.5,246
251,Western Digital,1497770,WD,6199,MD,MD,9850,1382
252,Oshkosh,775158,OSK,3711,WI,WI,9842.4,790
253,State Street Corp.,93751,STT,6022,MA,MA,9716,1556
254,Nordstrom,72333,JWN,5651,WA,WA,9700,613
255,Liberty Global,1160106,LBG,1000,WV,AZ,9667.7,388.2
256,KKR,1404912,KKR,6282,NY,DE,9667.6,333.2
257,Williams,350077,WMS,3990,IL,DE,9616,-1097
258,Limited Brands,701985,LTD,5621,OH,DE,9613.3,804.8
259,Applied Materials,6951,AMAT,3674,CA,DC,9548.7,937.9
260,Newmont Mining,1164727,NEM,1040,CO,DE,9540,2277
261,Norfolk Southern,702165,NSC,4011,VA,VA,9516,1496
262,GameStop,1434830,GMS,7372,FL,FL,9473.7,408
263,Chesapeake Energy,895126,CHK,1311,OK,OK,9366,1774
264,Huntsman,1307954,HUN,2800,UT,DE,9302,27
265,C.H. Robinson Worldwide,1043277,CHRW,4731,MN,DE,9274.3,387
266,Tenet Healthcare,70318,THC,8062,TX,NV,9233,1143
267,URS,102379,URS,8711,CA,DE,9177.1,287.9
268,Principal Financial,1126328,PFG,6321,IA,DE,9158.6,699.3
269,eBay,1065088,EBAY,7389,CA,DE,9156.3,1801
270,Icahn Enterprises,813762,IEP,3714,NY,DE,9119,199
271,Air Products & Chemicals,773910,APC,1311,TX,DE,9026,1029.1
272,Ashland,1305014,ASH,5160,KY,KY,9012,332
273,Whole Foods Market,865436,WFM,5411,TX,TX,9005.8,245.8
274,Sempra Energy,1032208,SRE,4932,CA,CA,9003,739
275,Automatic Data Processing,8670,ADP,7374,NJ,DE,8944.9,1211.4
276,NRG Energy,1013871,NRG,4911,NJ,DE,8849,477
277,Caesars Entertainment,1070794,CZR,7011,NV,DE,8818.6,-831.1
278,Great Atlantic & Pacific Tea,43300,GAP,5411,NJ,MD,8813.6,-876.5
279,CenterPoint Energy,1130310,CNP,4911,TX,,8785,442
280,PPL,922224,PPL,4911,PA,PA,8638,938
281,Synnex,1177394,SNX,7373,CA,DE,8617.1,127.9
282,BlackRock,833320,BR,1311,TX,DE,8612,2063
283,DTE Energy,936340,DTE,4911,MI,MI,8557,630
284,Reynolds American,1275283,RAI,2111,NC,NC,8551,1113
285,Assurant,1138830,AUT,3674,AL,AL,8527.7,279.2
286,Aon,315293,AON,6411,IL,DE,8512,706
287,Micron Technology,723125,MU,3674,ID,DE,8482,1850
288,Stanley Black & Decker,93556,SWK,3420,CT,CT,8409.6,198.2
289,Holly,1156784,HY,7372,WA,DE,8322.9,104
290,Reinsurance Group of America,898174,RGA,6321,MO,MO,8261.7,574.4
291,Discover Financial Services,1393612,DFS,6141,IL,DE,8241.2,764.8
292,Energy Future Holdings,,PRIVATE,,,,8235,-2812
293,Regions Financial,1281761,RF,6021,AL,DE,8220,-539
294,Kinder Morgan,888228,KMP,4922,TX,DE,8190.6,-41.3
295,Owens & Minor,899723,OM,1000,NY,DE,8123.6,110.6
296,Republic Services,1060391,RSG,4953,AZ,DE,8106.6,506.5
297,Visa,1403161,V,7389,CA,DE,8065,2966
298,Western Refining,1339048,WNR,2911,TX,DE,7965.1,-17
299,Gilead Sciences,882095,GILD,2836,CA,DE,7949.4,2901.3
300,Ball,9389,BLL,3411,CO,IN,7948.5,468
301,Crown Holdings,1219601,CCK,3411,PA,PA,7941,324
302,Family Dollar Stores,1013237,FDS,7370,CT,DE,7867,358.1
303,Ross Stores,745732,ROST,5651,CA,DE,7866.1,554.8
304,Bed Bath & Beyond,886158,BBBY,5700,NJ,NY,7828.8,600
305,Boston Scientific,885725,BSX,3841,MA,DE,7806,-1065
306,Global Partners,1323468,GLP,5171,MA,MA,7801.6,27
307,Estée Lauder,1001250,EL,2844,NY,DE,7795.8,478.3
308,Sherwin-Williams,89800,SHW,5200,OH,OH,7776.4,462.5
309,Enbridge Energy Partners,895728,ENB,4610,NY,NY,7736.1,-198.5
310,VF,103379,VFC,2320,NC,PA,7702.6,571.4
311,CarMax,1170010,KMX,5500,VA,VA,7690.3,281.7
312,Campbell Soup,1159510,CS,6211,AZ,AZ,7676,844
313,Ameren,1002910,AEE,4931,MO,MO,7638,139
314,Masco,62996,MAS,2430,MI,DE,7592,-1043
315,Hertz Global Holdings,1364479,HTZ,7510,NJ,NJ,7562.5,-48
316,Becton Dickinson,10795,BDX,3841,NJ,NJ,7540.1,1317.6
317,Henry Schein,1000228,HSIC,5047,NY,DE,7526.8,325.8
318,Thrivent Financial for Lutherans,811869,LBHIX,6799,MN,MN,7470.5,247.2
319,Visteon,1111335,VC,3714,MI,DE,7466,N.A.
320,Quest Diagnostics,1022079,DGX,8071,NJ,DE,7368.9,720.9
321,Cablevision Systems,1159510,CS,6211,AZ,AZ,7362.9,360.9
322,AutoZone,866787,AZO,5531,TN,NV,7362.6,738.3
323,Stryker,310764,SYK,3841,MI,MI,7320,1273.4
324,Winn-Dixie Stores,107681,WINN,5411,FL,FL,7247.8,28.9
325,Hormel Foods,48465,HRL,2011,MN,DE,7220.7,395.6
326,Fifth Third Bancorp,35527,FITB,6022,OH,OH,7218,753
327,Eastman Kodak,31235,EK,3861,NY,NJ,7187,-687
328,W.W. Grainger,277135,GWW,5000,IL,IL,7182.2,510.9
329,Autoliv,1034670,ALV,3714,UT,DE,7170.6,590.6
330,OfficeMax,12978,OMX,5110,IL,DE,7150,71.2
331,Dover,29905,DOV,3530,IL,DE,7142,700.1
332,Darden Restaurants,940944,DRI,5812,FL,FL,7113.1,404.5
333,Charter Communications,1091667,CHTR,4841,MO,DE,7059,-237
334,CenturyLink,18926,CTL,4813,LA,LA,7041.5,947.7
335,Pepco Holdings,1135971,POM,4931,DC,DE,7039,32
336,Shaw Group,914024,SHAW,3490,LA,LA,7000.8,92.7
337,Goodrich,42542,GR,3760,NC,NY,6966.9,578.7
338,Peabody Energy,1064728,BTU,1221,MO,DE,6944.2,774
339,Sonic Automotive,1043509,SAH,5500,NC,DE,6935.9,89.9
340,AGCO,880266,AGCO,3523,GA,DE,6896.6,220.5
341,Dole Food,18169,DOLE,100,CA,DE,6894,-34.1
342,Las Vegas Sands,1300514,LVS,7011,NV,NV,6853.2,599.4
343,Broadcom,1054374,BRCM,3674,CA,CA,6818.3,1081.8
344,SLM,1032033,SLM,6141,DE,DE,6776.3,530.4
345,Owens-Illinois,812074,OI,3221,OH,DE,6762,-47
346,Mosaic,1285785,MOS,2870,MN,,6759.1,827.1
347,Coca-Cola Enterprises,1491675,CCE,2086,GA,DE,6714,624
348,Eastman Chemical,915389,EMN,2821,TN,DE,6691,438
349,Calpine,916457,CPN,4911,TX,DE,6637,31
350,Corning,24741,GLW,3357,NY,NY,6632,3558
351,Energy Transfer Equity,1276187,ETE,4922,TX,DE,6598.1,192.8
352,Fortune Brands,789073,FO,3430,IL,DE,6570.5,487.6
353,AECOM Technology,868857,ACM,8711,CA,DE,6559.4,236.9
354,Weyerhaeuser,106535,WY,6798,WA,WA,6552,1281
355,Interpublic Group,51644,IPG,7311,NY,DE,6531.9,261.1
356,Avery Dennison,8818,AVY,2670,CA,DE,6512.7,316.9
357,Advanced Micro Devices,2488,AMD,3674,CA,DE,6494,471
358,American Family Insurance Group,,PRIVATE,,,,6491.8,487.1
